Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations"
Africa,,6/23/2020,9140.57143,
Africa,,6/24/2020,9379.28571,
Africa,,6/25/2020,9696.28571,
Africa,,6/26/2020,10308.28571,
Africa,,6/27/2020,10490,
Africa,,6/28/2020,10699.28571,
Africa,,6/29/2020,10951.85714,
Africa,,6/30/2020,11169,
Africa,,7/1/2020,11526.28571,
Africa,,7/2/2020,11885.42857,
Africa,,7/3/2020,12131.57143,
Africa,,7/4/2020,12633.42857,
Africa,,7/5/2020,13139,
Africa,,7/6/2020,13620.14286,
Africa,,7/7/2020,14189.42857,
Africa,,7/8/2020,14846.71429,
Africa,,7/9/2020,15033.14286,
Africa,,7/10/2020,15658.85714,
Africa,,7/11/2020,16050.57143,
Africa,,7/12/2020,16448.42857,
Africa,,7/13/2020,16784.28571,
Africa,,7/14/2020,17005.14286,
Africa,,7/15/2020,16817.57143,
Africa,,7/16/2020,17336.28571,
Africa,,7/17/2020,17480.14286,
Africa,,7/18/2020,17728.57143,
Africa,,7/19/2020,17793.57143,
Africa,,7/20/2020,18045.42857,
Africa,,7/21/2020,17938.57143,
Africa,,7/22/2020,17663.85714,
Africa,,7/23/2020,17863.85714,
Africa,,7/24/2020,17881.71429,
Africa,,7/25/2020,18075.57143,
Africa,,7/26/2020,17965.57143,
Africa,,7/27/2020,17971.28571,
Africa,,7/28/2020,17639,
Africa,,7/29/2020,17659.71429,
Africa,,7/30/2020,17452.71429,
Africa,,7/31/2020,17127.14286,
Africa,,8/1/2020,16632.28571,
Africa,,8/2/2020,16708.71429,
Africa,,8/3/2020,15736,
Africa,,8/4/2020,15478.14286,
Africa,,8/5/2020,14964.71429,
Africa,,8/6/2020,14612.71429,
Africa,,8/7/2020,14192.57143,
Africa,,8/8/2020,13640,
Africa,,8/9/2020,12918.85714,
Africa,,8/10/2020,12998.71429,
Africa,,8/11/2020,12636.14286,
Africa,,8/12/2020,12400,
Africa,,8/13/2020,11524,
Africa,,8/14/2020,10938.57143,
Africa,,8/15/2020,10848.71429,
Africa,,8/16/2020,10530.57143,
Africa,,8/17/2020,10108.28571,
Africa,,8/18/2020,10135.28571,
Africa,,8/19/2020,10128.57143,
Africa,,8/20/2020,10398.71429,
Africa,,8/21/2020,10422.85714,
Africa,,8/22/2020,10056.14286,
Africa,,8/23/2020,9823.14286,
Africa,,8/24/2020,9801.14286,
Africa,,8/25/2020,9622.28571,
Africa,,8/26/2020,9626.42857,
Africa,,8/27/2020,9262.14286,
Africa,,8/28/2020,8942.71429,
Africa,,8/29/2020,8634.14286,
Africa,,8/30/2020,8437.42857,
Africa,,8/31/2020,8285.42857,
Africa,,9/1/2020,8159.14286,
Africa,,9/2/2020,8108,
Africa,,9/3/2020,8019,
Africa,,9/4/2020,7905.14286,
Africa,,9/5/2020,7961.85714,
Africa,,9/6/2020,7758.28571,
Africa,,9/7/2020,7708.28571,
Africa,,9/8/2020,7756.28571,
Africa,,9/9/2020,7718.28571,
Africa,,9/10/2020,7756.71429,
Africa,,9/11/2020,7792.85714,
Africa,,9/12/2020,7842.71429,
Africa,,9/13/2020,7891.42857,
Africa,,9/14/2020,7697.71429,
Africa,,9/15/2020,7572.28571,
Africa,,9/16/2020,7467.28571,
Africa,,9/17/2020,7320.71429,
Africa,,9/18/2020,7432.42857,
Africa,,9/19/2020,7347.85714,
Africa,,9/20/2020,7608,
Africa,,9/21/2020,7773.28571,
Africa,,9/22/2020,7747.14286,
Africa,,9/23/2020,7784.42857,
Africa,,9/24/2020,7933.85714,
Africa,,9/25/2020,7865.85714,
Africa,,9/26/2020,7841.57143,
Africa,,9/27/2020,7549.28571,
Africa,,9/28/2020,7513.71429,
Africa,,9/29/2020,7469.71429,
Africa,,9/30/2020,7563.71429,
Africa,,10/1/2020,7542.85714,
Africa,,10/2/2020,7374.71429,
Africa,,10/3/2020,7504.14286,
Africa,,10/4/2020,7738.71429,
Africa,,10/5/2020,7981.42857,
Africa,,10/6/2020,7800,
Africa,,10/7/2020,7698.85714,
Africa,,10/8/2020,8000.85714,
Africa,,10/9/2020,8380.85714,
Africa,,10/10/2020,8719.14286,
Africa,,10/11/2020,9129.85714,
Africa,,10/12/2020,8914.85714,
Africa,,10/13/2020,9165.57143,
Africa,,10/14/2020,9505.28571,
Africa,,10/15/2020,9630.85714,
Africa,,10/16/2020,9478.71429,
Africa,,10/17/2020,9245.28571,
Africa,,10/18/2020,9576.14286,
Africa,,10/19/2020,9650.28571,
Africa,,10/20/2020,10119.57143,
Africa,,10/21/2020,10207.71429,
Africa,,10/22/2020,10086.42857,
Africa,,10/23/2020,10410.42857,
Africa,,10/24/2020,10528,
Africa,,10/25/2020,10200.71429,
Africa,,10/26/2020,10291.57143,
Africa,,10/27/2020,10461.57143,
Africa,,10/28/2020,10311.14286,
Africa,,10/29/2020,10513.28571,
Africa,,10/30/2020,11055.71429,
Africa,,10/31/2020,11212.42857,
Africa,,11/1/2020,11029,
Africa,,11/2/2020,11120.71429,
Africa,,11/3/2020,10554.71429,
Africa,,11/4/2020,10894.28571,
Africa,,11/5/2020,11212.85714,
Africa,,11/6/2020,11283.85714,
Africa,,11/7/2020,11348.57143,
Africa,,11/8/2020,11976,
Africa,,11/9/2020,12401.57143,
Africa,,11/10/2020,12649.42857,
Africa,,11/11/2020,12944,
Africa,,11/12/2020,12753.71429,
Albania,ALB,3/11/2020,3.33333,
Albania,ALB,3/12/2020,2.75,
Albania,ALB,3/13/2020,4.6,
Albania,ALB,3/14/2020,5.5,
Albania,ALB,3/15/2020,5.42857,
Albania,ALB,3/16/2020,5.71429,
